Rk,Player,Class,Season,Pos,School,Conf,G,MP,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,John Meeks,SR,2020-21,F,Bucknell,Patriot,6,187,31.2,8.5,17.2,6.8,12.8,1.7,4.3,6.7,7.8,2.0,4.8,6.8,2.3,1.0,0.0,2.7,2.2,25.3
2,Peter Kiss,SR,2021-22,G,Bryant,NEC,27,964,35.7,9.1,20.0,7.3,13.7,1.9,6.3,5.1,6.5,1.4,4.3,5.8,3.2,1.7,0.3,4.2,2.2,25.2
3,Darius McGhee,SR,2021-22,G,Liberty,A-Sun,33,1111,33.7,8.4,18.3,4.1,7.3,4.3,11.0,3.6,4.1,0.5,4.0,4.5,3.6,1.2,0.2,3.0,1.3,24.6
4,Max Abmas,SO,2020-21,G,Oral Roberts,Summit,28,1037,37.0,8.0,16.8,4.4,8.5,3.6,8.3,4.9,5.5,0.4,2.8,3.2,3.8,1.5,0.2,2.3,2.2,24.5
5,Luka Garza,SR,2020-21,F,Iowa,Big Ten,31,975,31.5,9.1,16.4,7.6,13.2,1.4,3.2,4.5,6.4,3.0,5.7,8.7,1.7,0.7,1.6,1.5,2.3,24.1
6,Antoine Davis,JR,2020-21,G,Detroit Mercy,Horizon,22,846,38.5,8.1,19.1,4.3,9.0,3.8,10.1,4.0,4.4,0.2,2.7,2.9,4.8,1.5,0.0,3.3,1.6,24.0
7,Antoine Davis,SR,2021-22,G,Detroit Mercy,Horizon,29,1072,37.0,8.2,19.1,4.3,8.9,3.9,10.3,3.6,4.1,0.5,3.1,3.6,4.4,1.0,0.0,3.3,1.7,23.9
8,Keegan Murray,SO,2021-22,F,Iowa,Big Ten,35,1116,31.9,8.8,15.8,6.9,11.1,1.9,4.7,4.1,5.4,2.9,5.8,8.7,1.5,1.3,1.9,1.1,1.9,23.5
9,Cameron Thomas,FR,2020-21,G,Louisiana State,SEC,29,986,34.0,7.0,17.2,4.7,10.0,2.3,7.2,6.7,7.6,0.6,2.8,3.4,1.4,0.9,0.2,1.7,1.4,23.0
10,Max Abmas,JR,2021-22,G,Oral Roberts,Summit,30,1104,36.8,7.5,17.9,3.7,8.1,3.8,9.8,4.0,4.7,0.3,3.1,3.4,3.7,1.0,0.1,2.3,1.9,22.8
11,AJ Green,JR,2020-21,G,Northern Iowa,MVC,3,109,36.3,8.7,18.7,5.0,9.7,3.7,9.0,1.3,2.0,1.0,4.7,5.7,2.7,1.3,0.7,3.7,2.0,22.3
12,Loren Jackson,SR,2020-21,G,Akron,MAC,23,812,35.3,7.1,17.6,4.6,10.0,2.5,7.6,5.5,6.2,0.7,2.4,3.1,6.1,1.0,0.0,3.0,1.8,22.3
13,Bryce Hamilton,SR,2021-22,G,Nevada-Las Vegas,MWC,32,1035,32.3,7.6,17.8,5.1,10.5,2.5,7.2,4.0,5.3,0.7,4.3,5.0,2.2,0.8,0.1,1.9,1.8,21.8
14,Terrell Brown,SR,2021-22,G,Washington,Pac-12,32,1156,36.1,8.0,17.8,7.7,15.9,0.4,1.9,5.3,6.8,1.2,3.0,4.2,4.3,2.2,0.5,2.4,1.5,21.7
15,Marcus Burk,SR,2020-21,G,IUPUI,Horizon,18,614,34.1,7.7,15.9,5.2,9.8,2.5,6.1,3.8,4.8,0.4,3.3,3.7,2.2,1.8,0.4,3.2,2.7,21.7
16,Javon Freeman-Liberty,SR,2021-22,G,DePaul,Big East,24,838,34.9,7.3,17.0,5.3,11.5,2.0,5.5,5.0,6.7,1.8,5.5,7.3,3.2,1.7,0.1,2.2,2.2,21.7
17,TJ Starks,JR,2020-21,G,Cal State Northridge,Big West,20,672,33.6,7.8,17.2,5.9,12.0,1.9,5.2,4.2,5.4,0.6,2.5,3.0,3.0,1.4,0.1,3.0,1.9,21.7
18,Terry Taylor,SR,2020-21,G,Austin Peay,OVC,27,1000,37.0,8.4,16.2,7.6,13.0,0.9,3.2,3.9,4.9,5.1,6.0,11.1,1.6,1.2,0.9,2.7,1.7,21.6
19,Stanley Umude,SR,2020-21,G,South Dakota,Summit,25,807,32.3,7.7,16.4,6.2,12.0,1.6,4.4,4.6,5.8,0.5,6.5,7.0,3.0,0.4,0.4,2.5,2.1,21.6
20,Justin Jaworski,SR,2020-21,G,Lafayette,Patriot,15,542,36.1,7.0,15.1,4.4,8.6,2.6,6.5,4.9,5.3,0.4,3.3,3.7,2.3,1.5,0.0,2.3,1.6,21.5
21,Khalif Battle,SO,2021-22,G,Temple,AAC,7,223,31.9,7.1,13.3,4.1,7.1,3.0,6.1,4.1,5.1,0.4,3.4,3.9,1.0,0.4,0.0,2.1,2.3,21.4
22,Tavian Dunn-Martin,SR,2021-22,G,Florida Gulf Coast,A-Sun,33,1109,33.6,6.7,16.3,3.5,7.5,3.2,8.7,4.8,5.5,0.5,2.6,3.1,6.0,1.1,0.0,3.7,1.4,21.4
23,Obadiah Noel,SR,2020-21,G,Massachusetts-Lowell,AEC,18,614,34.1,6.7,13.7,5.1,8.8,1.6,4.9,6.4,8.6,1.2,3.6,4.8,3.3,1.2,0.2,3.4,2.9,21.4
24,Santi Aldama,SO,2020-21,F,Loyola (MD),Patriot,17,595,35.0,7.9,15.5,6.1,10.4,1.9,5.1,3.5,5.1,1.8,8.3,10.1,2.3,1.0,1.7,3.2,1.9,21.2
25,Daylen Kountz,SR,2021-22,G,Northern Colorado,Big Sky,37,1271,34.4,7.8,15.2,6.2,11.4,1.6,3.8,4.1,5.0,0.4,3.7,4.1,2.6,0.8,0.4,2.4,2.3,21.2
26,Davion Warren,SO,2020-21,G,Hampton,Big South,25,874,35.0,7.5,16.4,5.6,10.1,1.9,6.4,4.3,5.7,1.3,5.0,6.3,3.0,2.1,0.6,3.7,2.7,21.2
27,Tristan Jarrett,SR,2020-21,G,Jackson State,SWAC,18,573,31.8,6.7,15.9,4.3,9.2,2.4,6.7,5.3,6.3,1.2,4.2,5.3,1.4,1.4,0.4,3.0,2.3,21.1
28,AJ Bramah,SO,2020-21,G,Robert Morris,Horizon,12,411,34.3,8.0,15.7,8.0,15.5,0.0,0.2,5.0,6.3,2.8,7.5,10.3,1.6,1.4,0.4,2.9,2.6,21.0
29,Michael Flowers,SR,2020-21,G,South Alabama,Sun Belt,28,1041,37.2,6.7,15.3,3.5,7.1,3.1,8.1,4.5,5.5,0.4,4.3,4.6,3.6,1.6,0.1,3.0,2.1,21.0
30,Kofi Cockburn,JR,2021-22,C,Illinois,Big Ten,28,859,30.7,8.1,13.6,8.1,13.6,0.0,0.0,4.8,7.3,3.4,7.2,10.6,0.8,0.8,1.0,2.3,2.4,20.9
31,Jordan Dingle,SO,2021-22,G,Pennsylvania,Ivy,26,828,31.8,7.6,17.1,5.1,9.5,2.5,7.6,3.1,3.8,0.7,3.0,3.6,2.4,0.8,0.0,3.0,1.7,20.9
