Rk,Player,Class,Season,Pos,School,Conf,G,MP,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Antoine Davis,SR,2022-23,G,Detroit Mercy,Horizon,19,711,37.4,8.7,21.3,4.3,10.3,4.4,11.0,4.4,4.9,0.5,2.7,3.2,3.1,0.9,0.1,3.1,2.3,26.2
2,Peter Kiss,SR,2021-22,G,Bryant,NEC,27,964,35.7,9.1,20.0,7.3,13.7,1.9,6.3,5.1,6.5,1.4,4.3,5.8,3.2,1.7,0.3,4.2,2.2,25.2
3,Darius McGhee,SR,2021-22,G,Liberty,A-Sun,33,1111,33.7,8.4,18.3,4.1,7.3,4.3,11.0,3.6,4.1,0.5,4.0,4.5,3.6,1.2,0.2,3.0,1.3,24.6
4,Antoine Davis,SR,2021-22,G,Detroit Mercy,Horizon,29,1072,37.0,8.2,19.1,4.3,8.9,3.9,10.3,3.6,4.1,0.5,3.1,3.6,4.4,1.0,0.0,3.3,1.7,23.9
5,Jordan Walker,SR,2022-23,G,UAB,CUSA,17,571,33.6,7.6,18.2,3.2,7.2,4.4,10.9,4.4,5.1,0.4,2.2,2.6,4.3,1.5,0.0,3.1,1.8,23.9
6,Keegan Murray,SO,2021-22,F,Iowa,Big Ten,35,1116,31.9,8.8,15.8,6.9,11.1,1.9,4.7,4.1,5.4,2.9,5.8,8.7,1.5,1.3,1.9,1.1,1.9,23.5
7,Jordan Dingle,JR,2022-23,G,Pennsylvania,Ivy,17,579,34.1,7.8,17.3,5.5,9.9,2.4,7.4,5.4,6.4,0.8,2.8,3.6,2.5,1.2,0.1,3.4,1.8,23.4
8,Max Abmas,JR,2021-22,G,Oral Roberts,Summit,30,1104,36.8,7.5,17.9,3.7,8.1,3.8,9.8,4.0,4.7,0.3,3.1,3.4,3.7,1.0,0.1,2.3,1.9,22.8
9,Max Abmas,SR,2022-23,G,Oral Roberts,Summit,19,672,35.4,6.9,15.0,3.3,5.7,3.6,9.3,4.4,4.8,0.6,4.6,5.2,3.8,1.3,0.2,1.9,1.8,21.8
10,Bryce Hamilton,SR,2021-22,G,Nevada-Las Vegas,MWC,32,1035,32.3,7.6,17.8,5.1,10.5,2.5,7.2,4.0,5.3,0.7,4.3,5.0,2.2,0.8,0.1,1.9,1.8,21.8
11,Jake Stephens,SR,2022-23,C,Chattanooga,Southern,20,644,32.2,7.5,13.7,5.4,8.5,2.1,5.2,4.7,5.5,2.4,7.8,10.2,3.6,0.9,2.4,2.8,1.5,21.8
12,James Bishop,SR,2022-23,G,George Washington,A-10,18,658,36.6,7.4,16.6,5.2,9.6,2.2,7.1,4.7,6.2,0.3,1.8,2.1,5.2,0.6,0.2,2.8,1.8,21.7
