Stars,Position,Name,Class,Ht,Wt,Previous School,New School,Season,School,Conf,G,MP,PER,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,PProd,ORtg,DRtg,OWS,DWS,WS,OBPM,DBPM,BPM,MPG,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
4.0,SG,Jabri Abdur-Rahim,SO,6-8,210,Virginia,Georgia,2021-22,Georgia,SEC,32,605,12.3,0.524,0.456,6.3,13.3,9.9,4.7,1.2,1.8,14.2,20.8,211,101.8,114.5,0.7,0.1,0.8,0.3,-1.7,-1.4,18.9,1.9,5.3,0.9,2.3,1.0,3.1,2.1,2.7,1.0,2.2,3.2,0.4,0.4,0.3,1.1,1.9,6.9
2.0,PF,Mattia Acunzo,RS SO,6-8,225,Toledo,Robert Morris,2020-21,Toledo,MAC,30,450,20.0,0.626,0.5920000000000001,7.7,17.4,12.7,10.7,0.9,1.2,12.9,18.0,176,125.6,103.7,1.4,0.5,1.9,2.5,-0.1,2.4,15.0,2.1,4.0,1.6,2.7,0.5,1.2,1.2,1.6,1.0,2.5,3.5,0.9,0.2,0.2,0.7,1.1,5.9
3.0,PG,Brendan Adams,SR,6-4,205,Connecticut,George Washington,2021-22,George Washington,A-10,29,875,11.2,0.48200000000000004,0.44299999999999995,2.3,11.1,6.8,13.0,1.4,0.2,9.9,16.1,244,102.4,108.2,0.8,0.6,1.5,-1.2,-0.5,-1.7,30.2,2.9,7.6,1.9,4.1,1.0,3.6,1.4,1.9,0.6,3.0,3.6,2.1,0.7,0.1,0.9,1.4,8.2
3.0,PG,Chase Adams,JR,5-7,150,Portland,Salt Lake Community College,2020-21,Portland,WCC,18,304,10.0,0.423,0.34,3.0,8.2,5.5,31.6,2.5,0.0,21.0,20.5,105,87.7,116.0,-0.1,0.0,-0.1,-4.6,-3.0,-7.5,16.9,1.5,4.5,1.4,3.7,0.1,0.8,1.6,2.0,0.4,1.1,1.6,2.6,0.8,0.0,1.4,1.5,4.6
2.0,SG,Quadry Adams,SO,6-4,190,Wake Forest,St. Bonaventure,2021-22,St. Bonaventure,A-10,30,255,9.5,0.5429999999999999,0.56,4.3,8.8,6.6,7.9,2.1,0.0,20.2,14.4,59,96.4,104.7,0.1,0.3,0.4,-2.7,1.1,-1.6,8.5,0.9,1.7,0.9,1.6,0.0,0.1,0.1,0.4,0.3,0.6,0.9,0.4,0.3,0.0,0.5,0.9,2.0
2.0,SG,Mike Adewunmi,SR,6-5,205,SIUE,Texas–Rio Grande Valley,2021-22,Texas-Rio Grande Valley,WAC,31,780,11.7,0.495,0.461,6.0,17.7,12.1,7.3,1.3,2.5,15.8,19.5,255,95.4,106.4,0.4,0.7,1.1,-1.6,-1.6,-3.2,25.2,3.0,7.4,2.1,4.0,0.9,3.4,1.5,2.2,1.3,4.3,5.6,0.9,0.6,0.6,1.6,2.8,8.4
2.0,SG,Mike Adewunmi,SR,6-5,205,SIUE,Texas–Rio Grande Valley,2020-21,Southern Illinois-Edwardsville,OVC,26,745,16.4,0.584,0.5489999999999999,3.4,21.1,12.5,8.0,1.3,1.5,17.6,24.1,298,102.4,104.0,1.1,0.8,1.9,-1.2,-2.1,-3.3,28.7,4.5,9.4,3.2,5.6,1.3,3.8,2.7,3.7,0.8,5.3,6.1,1.0,0.7,0.4,2.4,3.0,13.0
3.7,C,Abdul Ado,RS SR,-11,255,Mississippi State,Cincinnati,2020-21,Mississippi State,SEC,33,914,16.2,0.58,0.5539999999999999,11.3,16.8,14.1,4.8,1.4,8.6,22.5,12.0,212,108.5,96.2,1.1,1.7,2.8,0.9,3.2,4.0,27.7,2.3,4.2,2.3,4.2,0.0,0.0,1.3,1.9,2.6,4.2,6.8,0.7,0.6,2.1,1.5,2.3,5.9
3.7,C,Abdul Ado,RS SR,-11,255,Mississippi State,Cincinnati,2021-22,Cincinnati,AAC,32,556,15.1,0.514,0.545,10.1,17.9,13.9,6.1,3.4,8.7,25.3,8.9,99,102.2,88.9,0.3,1.4,1.8,-1.6,5.5,3.8,17.4,0.9,1.7,0.9,1.7,0.0,0.0,0.5,1.3,1.7,2.8,4.5,0.6,1.0,1.5,0.8,2.2,2.4
2.0,PF,Darrious Agnew,SR,6-8,220,Southeast Missouri State,Alcorn State,2021-22,Alcorn State,SWAC,31,612,18.3,0.55,0.498,10.0,18.1,13.9,6.8,1.6,1.8,18.1,25.0,267,103.0,103.6,0.9,0.7,1.7,-0.9,-1.6,-2.5,19.7,3.2,6.5,3.2,6.3,0.0,0.2,2.5,3.5,1.8,3.0,4.8,0.6,0.5,0.3,1.8,2.3,9.0
