Stars,Position,Name,Class,Ht,Wt,Previous School,New School,Season,School,Conf,G,MP,PER,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,PProd,ORtg,DRtg,OWS,DWS,WS,OBPM,DBPM,BPM,MPG,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2.0,SG,Fletcher Abee,RS SO,6-3,195,The Citadel,UNC Asheville,2022-23,UNC Asheville,Big South,32,964,10.4,0.5720000000000001,0.542,1.1,6.0,3.7,6.3,1.6,0.4,9.4,13.2,231,114.8,104.3,1.3,1.2,2.5,-1.9,0.2,-1.6,30.1,2.6,6.3,1.0,2.4,1.6,3.9,1.1,1.3,0.3,1.7,1.9,1.0,0.8,0.1,0.7,1.7,8.0
2.0,PF,Riley Abercrombie,RS JR,6-9,220,Rice,Northern Colorado,2022-23,Northern Colorado,Big Sky,26,643,14.5,0.602,0.599,5.4,14.6,10.0,6.8,0.4,1.6,10.2,15.7,203,120.0,114.2,1.4,0.2,1.5,3.3,-1.5,1.8,24.7,2.7,6.2,0.8,1.6,2.0,4.6,0.7,1.2,1.1,3.1,4.2,0.9,0.2,0.4,0.8,1.8,8.2
2.0,PF,Riley Abercrombie,RS JR,6-9,220,Rice,Northern Colorado,2021-22,Rice,CUSA,28,257,13.3,0.611,0.588,2.9,14.6,9.0,11.0,0.7,0.8,16.9,17.9,82,110.0,108.8,0.4,0.2,0.6,0.5,-1.4,-0.9,9.2,1.1,2.4,0.4,0.7,0.7,1.8,0.4,0.4,0.2,1.2,1.4,0.5,0.1,0.1,0.5,0.8,3.2
2.0,PG,Henry Abraham,RS FR,6-0,175,Eastern Illinois,Coastal Carolina,2022-23,Coastal Carolina,Sun Belt,31,735,8.8,0.5329999999999999,0.529,1.2,6.5,3.9,18.3,1.0,0.0,19.3,10.5,155,109.7,114.3,0.7,0.2,0.9,-1.7,-2.8,-4.6,23.7,1.5,3.9,0.5,1.1,1.0,2.8,0.2,0.4,0.3,1.4,1.7,2.5,0.4,0.0,1.0,0.9,4.3
2.0,PG,Tyson Acuff,RS FR,6-4,190,Duquesne,Eastern Michigan,2022-23,Eastern Michigan,MAC,30,1027,17.5,0.573,0.536,0.8,8.9,4.8,15.7,2.2,0.3,11.6,20.8,412,113.9,117.0,2.2,0.0,2.3,1.8,-1.8,0.0,34.2,5.0,11.0,3.3,6.0,1.7,5.0,2.5,3.0,0.2,2.5,2.8,2.7,1.3,0.1,1.6,1.5,14.3
2.0,PG,Tyson Acuff,RS FR,6-4,190,Duquesne,Eastern Michigan,2021-22,Duquesne,A-10,30,689,11.5,0.5579999999999999,0.545,1.7,13.5,7.1,7.3,1.5,0.7,12.5,13.1,158,109.5,111.2,0.8,0.3,1.1,-1.1,-0.9,-2.0,23.0,2.2,4.8,1.2,2.5,0.9,2.4,0.5,0.6,0.4,2.5,2.9,0.9,0.6,0.2,0.7,1.4,5.7
3.0,SF,Isaiah Adams,RS FR,6-6,210,UCF,Buffalo,2022-23,Buffalo,MAC,32,952,11.4,0.537,0.522,3.3,15.2,9.2,8.2,1.3,1.8,19.3,21.1,336,96.2,107.2,0.5,0.9,1.4,-1.2,-0.9,-2.1,29.8,4.2,9.9,2.3,4.5,1.9,5.4,1.3,1.9,0.9,4.1,5.0,1.4,0.7,0.5,2.6,2.5,11.6
3.0,SF,Isaiah Adams,RS FR,6-6,210,UCF,Buffalo,2021-22,Central Florida,AAC,27,392,7.7,0.43700000000000006,0.41100000000000003,3.1,14.1,8.5,13.9,2.5,2.8,23.7,21.3,112,80.3,99.7,-0.4,0.6,0.2,-3.6,1.3,-2.4,14.5,1.4,4.1,0.9,2.4,0.5,1.8,0.7,1.1,0.4,1.8,2.2,1.0,0.6,0.3,1.4,1.4,4.1
2.0,SG,Quadry Adams,SO,6-4,190,St. Bonaventure,Sacramento State,2022-23,Sacramento State,Big Sky,27,346,9.2,0.505,0.48100000000000004,4.0,16.7,10.3,10.5,0.9,0.6,18.8,16.6,85,96.4,107.5,0.1,0.3,0.5,-4.0,-1.1,-5.0,12.8,1.3,3.0,1.0,2.2,0.3,0.7,0.4,0.5,0.4,1.7,2.1,0.7,0.2,0.1,0.7,1.2,3.2
2.0,SG,Quadry Adams,SO,6-4,190,St. Bonaventure,Sacramento State,2021-22,St. Bonaventure,A-10,30,255,9.5,0.5429999999999999,0.56,4.3,8.8,6.6,7.9,2.1,0.0,20.2,14.4,59,96.4,104.7,0.1,0.3,0.4,-2.7,1.1,-1.6,8.5,0.9,1.7,0.9,1.6,0.0,0.1,0.1,0.4,0.3,0.6,0.9,0.4,0.3,0.0,0.5,0.9,2.0
2.0,SG,Quincy Ademokoya,RS FR,6-6,185,Temple,Kennesaw State,2022-23,Kennesaw State,A-Sun,35,515,10.0,0.59,0.5760000000000001,1.6,10.9,6.2,6.3,0.9,0.9,16.4,15.5,137,105.5,103.9,0.5,0.7,1.2,-0.9,-0.9,-1.8,14.7,1.5,3.4,0.5,0.9,0.9,2.5,0.5,0.8,0.2,1.4,1.6,0.5,0.2,0.1,0.7,1.1,4.5
